transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
6004,6003,6004,784.4,0,3,,-0.0780111346994901
6017,6016,6017,785.7,3,0,,-0.0235781924476962
6022,6021,6022,855.8,0,2,,0.1113962622654584
6033,6032,6033,856.9,2,0,,-0.2558955462465118
6052,6051,6052,858.8,0,3,,-0.5197145208443116
6064,6063,6064,860.0,3,0,,-1.0735282316020145
6076,6075,6076,861.2,0,3,,-0.8983521349025557
6081,6080,6081,861.7,3,0,,-0.4662016577639716
6103,6102,6103,863.9,0,2,,-0.238399274471825
6140,6139,6140,867.6,2,1,,-0.689999519229509
6145,6144,6145,868.1,1,0,,-0.2811146884328899
6148,6147,6148,868.4,0,3,,0.0723528174901702
6159,6158,6159,869.5,3,1,,-0.550767482263747
6224,6223,6224,876.0,1,3,,-0.5095052292009533
6234,6233,6234,877.0,3,0,,0.1184414688768516
6243,6242,6243,877.9,0,3,,0.2228374525523094
6256,6255,6256,879.2,3,0,,0.0268235266541299
6262,6261,6262,879.8,0,1,,1.3257289909769243
6269,6268,6269,880.5,1,3,,0.4298930165834388
6276,6275,6276,881.2,3,0,,0.1723846388483121
6283,6282,6283,881.9,0,3,,-0.4384267175007598
6300,6299,6300,883.6,3,0,,-0.8539116277818048
6314,6313,6314,885.0,0,3,,-0.2758646565545994
6326,6325,6326,886.2,3,1,,-0.2443333285249887
6344,6343,6344,888.0,1,3,,0.5513546658016196
6351,6350,6351,888.7,3,1,,-0.0554949186296056
6362,6361,6362,889.8,1,3,,-0.7694899415728247
6378,6377,6378,891.4,3,0,,-1.246202499722442
6383,6382,6383,891.9,0,2,,-1.2844400888903953
6403,6402,6403,893.9,2,0,,-0.8342346012952566
6418,6417,6418,895.4,0,3,,-0.1399239301659065
6424,6423,6424,896.0,3,0,,-0.8454797961933602
6467,6466,6467,900.3,0,3,,-0.5089674408688184
6487,6486,6487,902.3,3,0,,-0.5844997615511113
6526,6525,6526,906.2,0,2,,-0.4889181604809728
6541,6540,6541,907.7,2,0,,-0.0874204034338344
6591,6590,6591,912.7,0,2,,-0.7113376914362388
6608,6607,6608,914.4,2,0,,-0.5899318688334143
6615,6614,6615,915.1,0,1,,-0.7703175417525231
6627,6626,6627,916.3,1,2,,-0.5000360889477717
6649,6648,6649,918.5,2,0,,-0.5736353967786375
6669,6668,6669,920.5,0,3,,-0.7390833201996593
6684,6683,6684,922.0,3,0,,-0.6076097840232108
6706,6705,6706,924.2,0,3,,0.1887673012360733
6732,6731,6732,926.8,3,1,,-0.053526989613934
6752,6751,6752,928.8,1,3,,-0.3722370306563018
6768,6767,6768,930.4,3,0,,-0.7281522649921098
6775,6774,6775,931.1,0,3,,-0.5999930671014385
6778,6777,6778,931.4,3,0,,-0.4490635826385896
6820,6819,6820,935.6,0,1,Investigation,-0.744276318191684
6831,6830,6831,936.7,1,3,Investigation,-0.8551546660027366
6836,6835,6836,937.2,3,1,Investigation,-0.5374682810497425
6844,6843,6844,938.0,1,2,,-0.6798982845658766
6860,6859,6860,939.6,2,0,,-0.0848410860454725
6872,6871,6872,940.8,0,2,,0.0156497690615887
6878,6877,6878,941.4,2,0,,-1.0018804381515725
6901,6900,6901,943.7,0,2,,-0.5834615973205514
6932,6931,6932,946.8,2,0,,0.3961369319494991
6962,6961,6962,949.8,0,1,,-0.6239610076738651
6966,6965,6966,950.2,1,2,,0.0841391943125972
6973,6972,6973,950.9,2,0,,-0.159051727035815
6990,6989,6990,952.6,0,3,,-0.1917274880009692
7027,7026,7027,956.3,3,0,,1.115599985619353
7036,7035,7036,957.2,0,2,,-0.131119754122251
7050,7049,7050,958.6,2,0,,-0.5408496794549965
7061,7060,7061,959.7,0,2,,-0.6053392207754236
7078,7077,7078,961.4,2,0,,0.4401339866819072
7085,7084,7085,962.1,0,3,,0.0930212900157667
7090,7089,7090,962.6,3,0,,-0.1705708285114076
7098,7097,7098,963.4,0,2,,0.3577358765128788
7129,7128,7129,966.5,2,0,,0.1694173363031491
7134,7133,7134,967.0,0,3,,-0.5512326909297387
7139,7138,7139,967.5,3,1,,-0.2850250819625329
7145,7144,7145,968.1,1,2,,-0.7383488120731412
7150,7149,7150,968.6,2,0,,0.530711143454328
7205,7204,7205,974.1,0,2,,0.5160377692314503
7220,7219,7220,975.6,2,0,,0.3021340048986804
