bout_phase,syllable,n,mean_DA,median_DA,std_DA,sem_DA
Long_Term-1,12,13,0.24883423084220194,0.2928275371527145,0.7624764044344875,0.2114729055784587
Long_Term-1,13,11,0.010263214868881073,0.009503744463287634,0.5243323313475028,0.15809214623017906
Long_Term-1,14,11,-0.028359120644229893,0.4484911543821499,1.151675749848627,0.34724330385446367
Long_Term-1,15,12,0.34864631880614105,0.38286402408480136,0.6707366697010061,0.1936249984036145
Long_Term-1,16,12,-0.13758997216176316,0.08869870776337058,0.8862968648158894,0.2558518667416876
Long_Term-1,17,10,0.24866071752293722,0.17044749423134292,0.3775574214172201,0.11939413991784534
Long_Term-1,18,12,0.3981065531387105,0.26209335942758827,0.9409302393753961,0.271623163496022
Long_Term-1,19,10,0.26479731117423266,0.4121595824138663,0.4484204162864638,0.14180298647860892
Long_Term-1,20,13,0.02195633598090689,0.16978887745246649,0.60738102879843,0.16845718792898534
Long_Term-1,21,9,0.1930443031144857,0.19288558411500406,0.783100477831227,0.26103349261040903
Long_Term-1,22,12,0.18424312537144757,0.11010891354509847,0.5206120947544103,0.15028776652491688
Long_Term-1,23,12,-0.019905504729758047,0.022033185809251427,0.5651114141656223,0.16313361354532607
Long_Term-1,24,8,0.025718425997475914,0.15175911197296013,0.5299034357714296,0.187349156404014
Long_Term-1,25,7,0.0694826217333502,0.20867235826953473,0.6462147563619577,0.2442462198391335
Long_Term-1,26,5,0.23484029265317258,0.2980000082564015,0.5279095238186531,0.23608831624561052
Long_Term-1,27,13,0.032263354796831095,-0.0831069322447595,0.8293738891358149,0.23002692952385898
Long_Term-1,28,8,-0.21155328191914233,-0.009846915694578087,0.877050369355245,0.31008413180662997
Long_Term-1,29,8,0.39762042367484113,0.22547514162687393,0.7793276737766466,0.27553394144690213
Long_Term-1,30,11,0.02264549500182037,0.05054398400642726,0.6244587281109036,0.18828139074603867
Long_Term-1,31,9,-0.5037357469510445,-0.3327963594691738,0.8900431264725547,0.2966810421575182
Long_Term-1,32,5,0.5100947250654793,0.6927138199485138,0.7767827241690127,0.34738779499787625
Long_Term-1,33,1,-0.7284845026032594,-0.7284845026032594,,
Long_Term-1,34,2,0.708893150598797,0.708893150598797,0.3925735520210516,0.27759142074857546
Long_Term-1,35,2,-0.7894099069690718,-0.7894099069690718,1.3757088864285638,0.9727730825322314
Long_Term-1,36,4,-0.02728749519403395,0.17938382066968758,1.3760085905768127,0.6880042952884063
Long_Term-1,37,1,-0.5131437586971463,-0.5131437586971463,,
